"Profit Center","Ergebnisplan Plan/Ist Kämmerer","1 Steuern und ähnliche Abgaben","2 + Zuwendungen und allgemeine Umlagen","3 + Sonstige Transfererträge","4 + Öffentlich-rechtliche Leistungsent-gelte","5 + Privatrecht-liche Leistungs-entgelte","6 + Kostenerstatt-ungen und Kostenumlagen","7 + Sonstige ordentliche Ertäge","8 + Aktivierte Eigenleistungen","10 = Ordentliche Erträge","11 - Personalauf-wendungen","12 - Versorgungsaufwendungen","13 - Aufwendungen für Sach- und Dienstleis-tungen","14 - Bilanzielle Abschreibungen","15 - Transferaufwen-dungen","16 - Sonstige ordentliche Aufwendungen","17 = Ordentliche Aufwendungen","18 = Ergebnis der laufenden Verwaltungs-tätigkeit
(= 10 + 17)","19 + Finanzerträge","20 - Zinsen und ähnliche Finanzaufwen-dungen","21 = Finanzergebnis
(= 19 + 20)","22 = Ordentliches Ergebnis
(= 18 + 21))","23 + Außerordent-liche Erträge","24 - Außerordent-liche Aufwendungen","25 = Außerordent-liches Ergebnis
(= 23 + 24)","26 = Jahresergebnis
(= 22 + 25)","27 + Erträge aus internen Leistungsbe-ziehungen","28 - Aufwendungen aus internen Leistungsbe-ziehungen","29 = Ergebnis
(= 26, 27, 28)"
"Plan 2012",,,-10.135,-1.844.500,-100,-144.800,-9.116.200,-11.300,,-11.127.035,7.631.988,705.983,456.585,218.519,66.586.900,634.497,76.234.473,65.107.438,,,,65.107.438,,,,65.107.438,-273.632,2.870.685,67.704.490
"Plan 2013",,,-10.135,-1.844.500,-100,-144.800,-15.306.200,-11.300,,-17.317.035,7.793.977,1.032.009,449.396,218.506,68.319.900,558.639,78.372.426,61.055.391,,,,61.055.391,,,,61.055.391,-274.221,2.995.562,63.776.731
"Plan 2014",,,-10.074,-1.844.500,-100,-144.800,-20.836.200,-11.300,,-22.846.974,7.816.608,1.018.925,449.396,218.428,70.701.920,557.352,80.762.629,57.915.655,,,,57.915.655,,,,57.915.655,-273.632,3.023.394,60.665.417
"Plan 2015",,,-9.914,-1.844.500,-100,-144.800,-21.436.200,-11.300,,-23.446.814,7.852.647,1.020.876,449.385,218.156,70.767.200,557.417,80.865.681,57.418.867,,,,57.418.867,,,,57.418.867,-273.631,3.049.962,60.195.198
"3102","Aufgaben nach SGB II",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-9.137,-19.386,,,-22.561.858,-59.022,,-22.649.402,1.948.066,126.023,26.761,13.880,85.772.387,3.856.656,91.743.772,69.094.370,,,,69.094.370,5,-10,-5,69.094.365,-19.624,4.014.118,73.088.860
"Ansatz 2010",,,-10.000,-18.200,,,-23.565.852,,,-23.594.052,3.418.368,47.954,36.920,1.445,90.549.000,4.099.933,98.153.620,74.559.568,,,,74.559.568,,,,74.559.568,-8.592,4.171.448,78.722.424
"Ansatz 2011",,,-10.000,-18.200,,,-24.676.672,,,-24.704.872,3.413.685,64.520,36.748,951,95.378.660,4.099.933,102.994.498,78.289.626,,,,78.289.626,,,,78.289.626,-8.195,4.351.120,82.632.550
"Plan 2012",,,-11.102,-18.200,,,-35.947.000,,,-35.976.302,3.270.102,32.931,32.084,15.450,94.287.000,10.389.307,108.026.874,72.050.571,,,,72.050.571,,,,72.050.571,-5.320,3.097.658,75.142.910
"Plan 2013",,,-11.102,-18.200,,,-36.484.000,,,-36.513.302,3.260.869,48.189,32.085,15.450,95.822.000,10.389.511,109.568.104,73.054.802,,,,73.054.802,,,,73.054.802,-2.318,3.209.529,76.262.013
"Plan 2014",,,-11.102,-18.200,,,-29.175.000,,,-29.204.302,3.262.446,47.617,32.085,15.450,96.887.000,10.389.446,110.634.044,81.429.742,,,,81.429.742,,,,81.429.742,-2.288,3.188.836,84.616.289
"Plan 2015",,,-11.062,-18.200,,,-29.451.000,,,-29.480.262,3.263.455,47.782,32.084,15.322,97.997.000,10.389.449,111.745.093,82.264.831,,,,82.264.831,,,,82.264.831,-2.288,3.252.529,85.515.072
"3103","Leistung  nach AsylbLG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-586.424,-45.422,,,-2.521,-66.797,,-701.164,493.795,167.911,29.974,12.676,4.411.486,30.127,5.145.968,4.444.805,,,,4.444.805,-35,80,45,4.444.850,,264.560,4.709.410
"Ansatz 2010",,,-650.021,-34.000,,,-174,,,-684.195,405.848,41.222,20.454,365,4.532.900,15.837,5.016.625,4.332.429,,,,4.332.429,,,,4.332.429,,306.599,4.639.029
"Ansatz 2011",,,-650.000,-34.000,,,-164,,,-684.164,411.078,48.310,15.468,296,4.328.400,14.929,4.818.482,4.134.317,,,,4.134.317,,,,4.134.317,,238.887,4.373.205
"Plan 2012",,,-650.336,-34.000,,,-100,,,-684.436,499.208,44.758,30.738,11.969,5.064.550,18.531,5.669.754,4.985.318,,,,4.985.318,,,,4.985.318,,206.769,5.192.087
"Plan 2013",,,-650.336,-34.000,,,-100,,,-684.436,513.130,65.391,30.738,11.969,5.152.500,18.777,5.792.504,5.108.067,,,,5.108.067,,,,5.108.067,,215.193,5.323.261
"Plan 2014",,,-650.336,-34.000,,,-100,,,-684.436,515.467,64.528,30.738,11.969,5.200.950,18.671,5.842.323,5.157.887,,,,5.157.887,,,,5.157.887,,213.740,5.371.626
"Plan 2015",,,-650.328,-34.000,,,-100,,,-684.428,519.034,64.623,30.738,11.956,5.288.400,18.675,5.933.426,5.248.998,,,,5.248.998,,,,5.248.998,,218.049,5.467.047
"3104","Sonstige soziale Leistungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-181.285,,,,-356.426,-334.256,,-871.966,3.441.505,846.799,166.729,66.964,23.818,534.683,5.080.498,4.208.531,,,,4.208.531,-17,35,18,4.208.549,-48.435,421.349,4.581.463
"Ansatz 2010",,,-200.119,,,,-688.482,-100,,-888.701,2.895.599,265.902,235.086,5.969,,463.012,3.865.567,2.976.866,,,,2.976.866,,,,2.976.866,-45.522,587.265,3.518.609
"Ansatz 2011",,,-100.000,,,,-368.483,-100,,-468.583,2.958.644,353.056,234.912,2.915,,460.119,4.009.645,3.541.062,,,,3.541.062,,,,3.541.062,-43.002,457.663,3.955.723
"Plan 2012",,,-104.115,,,,-367.900,-100,,-472.115,2.945.202,252.109,206.637,58.478,1.810.000,468.594,5.741.020,5.268.904,,,,5.268.904,,,,5.268.904,-19.644,346.984,5.596.244
"Plan 2013",,,-104.105,,,,-367.900,-100,,-472.105,2.989.750,368.852,207.542,58.273,1.810.000,469.603,5.904.019,5.431.913,,,,5.431.913,,,,5.431.913,-19.869,357.922,5.769.966
"Plan 2014",,,-4.071,,,,-267.900,-100,,-272.071,2.998.474,364.272,206.542,57.753,1.810.000,467.650,5.904.691,5.632.620,,,,5.632.620,,,,5.632.620,-19.630,353.812,5.966.803
"Plan 2015",,,-3.999,,,,-267.900,-100,,-271.999,3.010.318,364.968,206.537,57.559,1.810.000,467.674,5.917.056,5.645.056,,,,5.645.056,,,,5.645.056,-19.625,355.916,5.981.347
"3105","Soziale Einrichtungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-62.480,,-433.439,-6.356,94,-94.856,,-597.036,935.334,208.379,951.009,73.646,2.704,394.389,2.565.460,1.968.424,,,,1.968.424,-37,74,37,1.968.461,-492,190.908,2.158.876
"Ansatz 2010",,,-27.500,,-322.400,-200,-243,-1.300,,-351.643,1.189.911,80.147,1.326.980,2.083,,159.436,2.758.557,2.406.914,,,,2.406.914,,,,2.406.914,-434,231.119,2.637.599
"Ansatz 2011",,,-27.500,,-362.400,-200,-243,-1.300,,-391.643,1.182.918,107.884,1.003.936,1.379,,123.420,2.419.537,2.027.894,,,,2.027.894,,,,2.027.894,-367,211.823,2.239.351
"Plan 2012",,,-51.900,,-362.400,-200,-100,-1.300,,-415.900,1.207.904,86.166,691.324,83.944,,115.202,2.184.540,1.768.640,,,,1.768.640,,,,1.768.640,-459,141.043,1.909.225
"Plan 2013",,,-51.900,,-362.400,-200,-100,-1.300,,-415.900,1.211.660,126.053,579.243,83.944,,106.382,2.107.281,1.691.381,,,,1.691.381,,,,1.691.381,-454,141.138,1.832.065
"Plan 2014",,,-51.900,,-362.400,-200,-100,-1.300,,-415.900,1.214.285,124.538,531.743,83.944,,105.200,2.059.710,1.643.810,,,,1.643.810,,,,1.643.810,-450,138.341,1.781.701
"Plan 2015",,,-51.816,,-362.300,-200,-100,-1.300,,-415.716,1.216.909,124.891,531.668,83.854,,105.208,2.062.530,1.646.814,,,,1.646.814,,,,1.646.814,-447,139.034,1.785.400
"3106","Förderung der Wohlfahrtspflege",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-225,,,,-20.117,-12.824,,-33.166,131.048,27.524,23.577,3.010,1.527.859,4.479,1.717.497,1.684.331,,,,1.684.331,-10,20,10,1.684.341,,117.871,1.802.212
"Ansatz 2010",,,,,,,-219,,,-219,183.895,12.805,19.440,221,1.822.400,34.279,2.073.039,2.072.821,,,,2.072.821,,,,2.072.821,,111.593,2.184.413
"Ansatz 2011",,,,,,,-219,,,-219,184.048,17.239,19.444,195,1.727.240,34.281,1.982.447,1.982.228,,,,1.982.228,,,,1.982.228,,107.060,2.089.288
"Plan 2012",,,-195,,,,-100,,,-295,171.985,12.370,11.614,3.395,1.727.080,32.588,1.959.033,1.958.737,,,,1.958.737,,,,1.958.737,,78.308,2.037.045
"Plan 2013",,,-195,,,,-100,,,-295,172.441,18.098,11.060,3.395,1.593.920,26.513,1.825.427,1.825.132,,,,1.825.132,,,,1.825.132,,76.187,1.901.318
"Plan 2014",,,-195,,,,-100,,,-295,172.762,17.879,11.060,3.395,1.593.760,26.490,1.825.346,1.825.050,,,,1.825.050,,,,1.825.050,,75.277,1.900.327
"Plan 2015",,,-190,,,,-100,,,-290,173.138,17.936,11.060,3.389,1.593.600,26.490,1.825.613,1.825.323,,,,1.825.323,,,,1.825.323,,75.821,1.901.144
"3107","Betreuungen / Unterhaltsleistungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-2.396,-267.732,620,,-9.709.913,-202.361,,-10.181.781,1.730.310,526.395,55.709,26.902,4.336.110,4.573.399,11.248.825,1.067.045,,,,1.067.045,60,-122,-62,1.066.983,-67.628,431.917,1.431.272
"Ansatz 2010",,,-116,-280.000,,-100,-2.278.140,-100,,-2.558.456,1.472.108,173.775,56.319,1.568,4.490.695,269.139,6.463.604,3.905.148,,,,3.905.148,,420,420,3.905.568,-72.920,462.146,4.294.794
"Ansatz 2011",,,,-70.000,,-100,-2.455.862,-100,,-2.526.062,1.490.401,230.509,148.809,1.226,4.830.695,321.808,7.023.447,4.497.385,,,,4.497.385,,420,420,4.497.805,-70.409,477.812,4.905.208
"Plan 2012",,,-1.881,-95.000,,-100,-2.444.644,-100,,-2.541.725,1.412.204,171.162,74.450,26.029,4.830.586,420.819,6.935.248,4.393.523,,,,4.393.523,,420,420,4.393.943,-75.060,387.188,4.706.071
"Plan 2013",,,-1.881,-95.000,,-100,-2.444.644,-100,,-2.541.725,1.478.506,250.341,74.450,26.348,4.830.586,421.784,7.082.014,4.540.289,,,,4.540.289,,420,420,4.540.709,-75.414,398.090,4.863.385
"Plan 2014",,,-1.881,-95.000,,-100,-2.444.644,-100,,-2.541.725,1.485.523,247.304,74.450,26.508,4.830.586,421.476,7.085.847,4.544.122,,,,4.544.122,,420,420,4.544.542,-75.062,394.039,4.863.519
"Plan 2015",,,-1.879,-95.000,,-100,-2.444.644,-100,,-2.541.723,1.495.531,247.893,74.737,26.627,4.830.586,422.526,7.097.899,4.556.175,,,,4.556.175,,420,420,4.556.595,-75.062,396.470,4.878.003
"3108","Beteiligung im Bereich Soz. Leistung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,,,,,,,,,5.892.845,,5.892.845,5.892.845,,,,5.892.845,,,,5.892.845,,,5.892.845
"Ansatz 2010",,,,,,,,,,,,,,,1.265.900,,1.265.900,1.265.900,,,,1.265.900,,,,1.265.900,,,1.265.900
"Ansatz 2011",,,,,,,,,,,,,,,1.161.749,,1.161.749,1.161.749,,,,1.161.749,,,,1.161.749,,,1.161.749
"Plan 2012",,,,,,,,,,,,,,,4.184.000,,4.184.000,4.184.000,,,,4.184.000,,,,4.184.000,,,4.184.000
"Plan 2013",,,,,,,,,,,,,,,3.842.440,,3.842.440,3.842.440,,,,3.842.440,,,,3.842.440,,,3.842.440
"Plan 2014",,,,,,,,,,,,,,,2.805.639,,2.805.639,2.805.639,,,,2.805.639,,,,2.805.639,,,2.805.639
"Plan 2015",,,,,,,,,,,,,,,1.482.000,,1.482.000,1.482.000,,,,1.482.000,,,,1.482.000,,,1.482.000
"3109","Soziale Leistungen überörtlicher Träger",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ansatz 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ansatz 2011",,,,-4.826.900,,,-81,,,-4.826.981,82.507,64.677,18.088,536,4.884.900,22.820,5.073.528,246.547,,,,246.547,,,,246.547,,273.496,520.043
"Plan 2012",,,-336,-5.414.200,,,,,,-5.414.536,281.443,27.289,10.925,5.809,5.414.200,18.931,5.758.598,344.062,,,,344.062,,,,344.062,,201.582,545.644
"Plan 2013",,,-336,-5.434.400,,,,,,-5.434.736,285.887,39.923,10.926,5.809,5.434.400,19.091,5.796.036,361.300,,,,361.300,,,,361.300,,207.563,568.864
"Plan 2014",,,-336,-5.650.000,,,,,,-5.650.336,286.340,39.437,10.926,5.809,5.650.000,19.040,6.011.553,361.217,,,,361.217,,,,361.217,,210.849,572.066
"Plan 2015",,,-327,-5.671.000,,,,,,-5.671.327,287.169,39.548,10.925,5.799,5.671.000,19.042,6.033.484,362.157,,,,362.157,,,,362.157,,213.228,575.385
"3601","Kindertagesbetreuung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-21.960.839,-3.131,-9.010.867,-360.210,-114.584,-178.482,,-31.628.114,8.150.086,396.883,1.713.533,503.490,51.977.224,541.994,63.283.210,31.655.096,-1.663,2.872,1.210,31.656.306,-26,56,31,31.656.336,-140.615,3.366.276,34.881.998
"Ansatz 2010",,,-20.182.290,-3.000,-9.470.600,-305.000,-254,-300,,-29.961.443,8.909.421,135.847,1.314.504,171.052,52.137.011,409.643,63.077.478,33.116.034,,,,33.116.034,,720,720,33.116.754,-945.770,3.117.553,35.288.537
"Ansatz 2011",,,-21.903.979,-3.000,-9.616.400,-318.000,-254,-300,,-31.841.932,8.862.316,180.198,1.409.381,119.604,53.826.265,409.454,64.807.218,32.965.286,,,,32.965.286,,720,720,32.966.006,-945.770,3.160.702,35.180.937
"Plan 2012",,,-23.698.470,-5.000,-9.929.400,-318.000,,-131,,-33.951.001,8.860.718,133.511,2.098.357,513.409,57.567.364,332.137,69.505.496,35.554.494,,,,35.554.494,,720,720,35.555.214,-945.770,2.408.558,37.018.002
"Plan 2013",,,-24.882.132,-5.000,-10.029.400,-318.000,,-131,,-35.234.663,9.012.566,195.246,1.822.859,562.773,60.929.389,277.900,72.800.733,37.566.070,,,,37.566.070,,720,720,37.566.790,-945.770,2.566.023,39.187.043
"Plan 2014",,,-24.915.659,-5.000,-10.029.400,-318.000,,-131,,-35.268.190,9.102.646,192.854,1.822.859,596.742,61.551.179,277.657,73.543.936,38.275.746,,,,38.275.746,,720,720,38.276.466,-945.770,2.549.644,39.880.340
"Plan 2015",,,-24.949.372,-5.000,-10.029.400,-318.000,,-131,,-35.301.902,9.173.053,193.362,1.825.090,629.778,62.285.781,285.707,74.392.770,39.090.867,,,,39.090.867,,720,720,39.091.587,-945.770,2.595.249,40.741.066
"3602","Kinder- und Jugendarbeit",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.045.542,,,-130.979,-36.296,-201.280,,-1.414.097,3.389.105,160.044,1.064.964,327.634,3.902.967,226.562,9.071.276,7.657.179,,,,7.657.179,-10,22,12,7.657.191,,609.333,8.266.524
"Ansatz 2010",,,-968.827,-100,,-146.400,-12.366,-1.100,,-1.128.792,3.348.044,53.674,1.030.883,43.202,3.832.925,210.194,8.518.923,7.390.131,,,,7.390.131,,48,48,7.390.179,,686.944,8.077.122
"Ansatz 2011",,,-966.554,-100,,-146.400,-12.366,-1.100,,-1.126.519,3.348.824,71.209,1.019.281,32.979,3.751.925,205.133,8.429.351,7.302.831,,,,7.302.831,,48,48,7.302.879,,669.964,7.972.844
"Plan 2012",,,-1.000.477,-100,,-159.360,-13.506,-1.158,,-1.174.601,3.364.908,53.382,905.007,342.920,3.956.677,220.373,8.843.267,7.668.665,,,,7.668.665,,48,48,7.668.713,,665.006,8.333.720
"Plan 2013",,,-1.000.351,-100,,-159.360,-13.506,-1.158,,-1.174.475,3.423.285,78.054,905.207,350.340,3.946.677,220.665,8.924.228,7.749.753,,,,7.749.753,,48,48,7.749.801,,675.971,8.425.772
"Plan 2014",,,-1.000.205,-100,,-159.360,-13.506,-1.158,,-1.174.330,3.457.067,77.078,908.207,349.147,3.946.677,220.573,8.958.749,7.784.419,,,,7.784.419,,48,48,7.784.467,,671.394,8.455.861
"Plan 2015",,,-999.938,-100,,-159.360,-13.506,-1.158,,-1.174.062,3.483.631,77.259,905.955,353.373,3.946.677,223.270,8.990.165,7.816.103,,,,7.816.103,,48,48,7.816.151,,674.954,8.491.105
"3603","Hilfen zur Erziehung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-32.968,-7.985,-2.400,-1.570,-3.926.189,-238.953,,-4.210.064,5.712.248,339.371,477.875,113.431,44.013.487,244.518,50.900.929,46.690.866,,,,46.690.866,49,-108,-59,46.690.807,-186.967,3.494.436,49.998.275
"Ansatz 2010",,,-25.934,,-100,-1.000,-3.992.413,-100,,-4.019.548,5.534.380,122.154,397.319,6.510,37.047.084,232.731,43.340.179,39.320.632,,,,39.320.632,,10.812,10.812,39.331.444,-260.304,2.647.247,41.718.387
"Ansatz 2011",,,-25.600,,-100,-1.000,-4.651.413,-100,,-4.678.213,5.542.101,162.002,405.898,5.525,38.024.779,232.563,44.372.867,39.694.654,,,,39.694.654,,10.812,10.812,39.705.466,-255.903,2.657.741,42.107.305
"Plan 2012",,,-31.976,,-100,-4.500,-4.651.200,-100,,-4.687.876,5.672.457,124.300,363.060,107.960,41.486.213,238.923,47.992.912,43.305.036,,,,43.305.036,,10.812,10.812,43.315.848,-247.133,2.167.411,45.236.126
"Plan 2013",,,-31.976,,-100,-4.500,-4.651.200,-100,,-4.687.876,5.801.226,181.820,364.260,109.170,42.070.213,239.647,48.766.336,44.078.460,,,,44.078.460,,10.812,10.812,44.089.272,-247.430,2.233.775,46.075.617
"Plan 2014",,,-31.976,,-100,-4.500,-4.651.200,-100,,-4.687.876,5.856.650,179.561,365.260,109.774,42.635.213,239.416,49.385.873,44.697.996,,,,44.697.996,,10.812,10.812,44.708.808,-247.117,2.226.134,46.687.825
"Plan 2015",,,-31.969,,-100,-4.500,-4.651.200,-100,,-4.687.869,5.901.411,180.078,366.894,110.233,43.226.213,243.332,50.028.160,45.340.291,,,,45.340.291,,10.812,10.812,45.351.103,-247.113,2.258.887,47.362.877
"3604","Institutionelle Bildung und Beratung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-296.898,,,-107.635,-3.192,-148.334,,-556.060,1.913.240,158.605,758.074,121.058,1.058.337,44.574,4.053.888,3.497.828,,,,3.497.828,-5,10,6,3.497.834,-76.038,343.700,3.765.495
"Ansatz 2010",,,-257.252,,,-114.000,-8.178,-200,,-379.630,1.917.872,50.459,606.569,27.730,1.014.792,64.249,3.681.671,3.302.040,,,,3.302.040,,,,3.302.040,-175.240,336.199,3.462.999
"Ansatz 2011",,,-257.000,,,-116.300,-8.178,-200,,-381.678,1.909.914,66.927,576.519,25.827,1.014.792,59.318,3.653.296,3.271.618,,,,3.271.618,,,,3.271.618,-169.969,328.924,3.430.573
"Plan 2012",,,-307.349,,,-116.300,-17.900,-200,,-441.749,1.927.266,50.478,563.555,150.454,1.254.819,65.925,4.012.498,3.570.749,,,,3.570.749,,,,3.570.749,-168.981,288.663,3.690.432
"Plan 2013",,,-306.817,,,-116.300,-17.900,-200,,-441.217,1.966.324,73.852,563.555,151.023,1.254.819,66.227,4.075.801,3.634.584,,,,3.634.584,,,,3.634.584,-173.000,294.280,3.755.864
"Plan 2014",,,-306.530,,,-116.300,-17.900,-200,,-440.930,1.984.941,72.933,563.555,151.684,1.268.919,66.131,4.108.164,3.667.234,,,,3.667.234,,,,3.667.234,-174.061,292.556,3.785.729
"Plan 2015",,,-306.527,,,-116.300,-17.900,-200,,-440.927,2.000.145,73.153,563.507,152.578,1.268.919,67.581,4.125.884,3.684.957,,,,3.684.957,,,,3.684.957,-175.168,294.215,3.804.004
"3605","Vormundschaftswesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.728,-259,,,-480,-147.532,,-149.999,1.107.331,384.406,39.812,19.351,93.576,3.199.832,4.844.307,4.694.308,,,,4.694.308,-69,141,72,4.694.380,,130.163,4.824.543
"Ansatz 2010",,,-89,,,,-262,,,-351,1.123.605,134.171,41.978,1.197,94.928,32.694,1.428.574,1.428.223,,,,1.428.223,,,,1.428.223,,153.224,1.581.447
"Ansatz 2011",,,,,,,-262,,,-262,1.137.741,177.972,58.985,936,94.928,32.773,1.503.335,1.503.073,,,,1.503.073,,,,1.503.073,,153.165,1.656.238
"Plan 2012",,,-1.482,,,,,,,-1.482,1.188.064,132.937,42.752,19.994,94.901,54.044,1.532.692,1.531.209,,,,1.531.209,,,,1.531.209,,136.462,1.667.672
"Plan 2013",,,-1.482,,,,,,,-1.482,1.240.591,194.434,42.752,20.268,94.901,54.793,1.647.739,1.646.256,,,,1.646.256,,,,1.646.256,,141.481,1.787.737
"Plan 2014",,,-1.482,,,,,,,-1.482,1.246.941,192.076,42.752,20.405,94.901,54.554,1.651.629,1.650.147,,,,1.650.147,,,,1.650.147,,140.411,1.790.558
"Plan 2015",,,-1.481,,,,,,,-1.481,1.255.262,192.531,42.999,20.510,94.901,55.254,1.661.457,1.659.975,,,,1.659.975,,,,1.659.975,,141.196,1.801.171
"4101","Gesundheitswesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-425.007,,-407.256,,-298.885,-348.679,,-1.479.827,5.086.055,557.701,521.565,159.777,2.676.420,238.506,9.240.023,7.760.196,,,,7.760.196,,,,7.760.196,-553.048,780.309,7.987.457
"Ansatz 2010",,,-429.652,,-433.400,-5.100,-212.406,-270.300,,-1.350.858,4.874.642,180.960,568.869,15.276,2.965.650,336.800,8.942.197,7.591.339,,,,7.591.339,-100,,-100,7.591.239,-508.558,844.971,7.927.652
"Ansatz 2011",,,-427.800,,-475.700,-5.100,-212.405,-115.300,,-1.236.305,4.960.863,240.421,592.603,2.465,2.955.650,336.250,9.088.252,7.851.947,,,,7.851.947,-100,,-100,7.851.847,-503.433,827.688,8.176.103
"Plan 2012",,,-26.567,,-475.200,-5.100,-212.600,-115.300,,-834.767,4.975.382,175.298,590.471,155.241,2.520.350,335.559,8.752.301,7.917.534,,,,7.917.534,-100,,-100,7.917.434,-472.237,696.868,8.142.066
"Plan 2013",,,-25.919,,-475.200,-5.100,-212.600,-115.300,,-834.119,5.053.431,256.487,590.483,154.978,2.495.350,336.615,8.887.344,8.053.224,,,,8.053.224,-100,,-100,8.053.124,-475.728,704.358,8.281.755
"Plan 2014",,,-24.933,,-475.200,-5.100,-212.600,-115.300,,-833.133,5.062.947,253.333,590.483,154.437,2.445.350,336.278,8.842.828,8.009.696,,,,8.009.696,-100,,-100,8.009.596,-475.728,702.847,8.236.715
"Plan 2015",,,-24.889,,-475.200,-5.100,-212.600,-115.300,,-833.089,5.057.030,254.150,590.471,154.692,2.445.350,336.296,8.837.990,8.004.900,,,,8.004.900,-100,,-100,8.004.800,-475.728,705.397,8.234.470
"4102","Medizinische Mikrobiologie",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,-3.723.188,,-77,,-3.723.265,1.319.324,,631.974,56.960,,1.239.521,3.247.778,-475.487,,,,-475.487,,,,-475.487,-6.388,189.625,-292.250
"Ansatz 2010",,,,,,-2.680.000,,,,-2.680.000,1.076.620,,552.201,11.172,,1.215.604,2.855.597,175.597,,,,175.597,,,,175.597,-6.000,180.233,349.830
"Ansatz 2011",,,,,,,,,,,198,,29.500,9.163,,122.964,161.825,161.825,,,,161.825,,,,161.825,,8.000,169.825
"Plan 2012",,,,,,,,,,,,,,,,64.552,64.552,64.552,,,,64.552,,,,64.552,,1.793,66.345
"Plan 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plan 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4201","Sporteinrichtungen, Bereitst. u. Betrieb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.028.747,,,-346.453,-244,-107.614,,-1.483.058,3.289.496,228.021,5.558.688,2.605.045,,1.390,11.682.640,10.199.582,,158.848,158.848,10.358.430,7,-14,-6,10.358.424,-749.819,591.888,10.200.492
"Ansatz 2010",,,-336.397,,,-399.985,-90,-543.800,,-1.280.271,2.121.262,77.571,4.645.954,1.820.790,89.250,750.187,9.505.016,8.224.744,,77.660,77.660,8.302.404,-100,,-100,8.302.304,-482.543,3.398.552,11.218.313
"Ansatz 2011",,,-190.487,,,-396.800,-90,-543.800,,-1.131.177,2.251.768,102.042,5.458.301,1.178.495,40.000,689.327,9.719.933,8.588.756,,76.280,76.280,8.665.036,-100,,-100,8.664.936,-482.195,3.099.560,11.282.301
"Plan 2012",,,-758.591,,,-396.766,,-100,,-1.155.457,2.210.549,81.026,3.573.482,2.384.844,125.000,730.996,9.105.896,7.950.439,,76.280,76.280,8.026.719,-100,,-100,8.026.619,-503.507,2.705.190,10.228.302
"Plan 2013",,,-666.081,,,-321.766,,-100,,-987.947,2.066.561,118.575,3.553.072,2.353.463,,576.477,8.668.148,7.680.201,,76.280,76.280,7.756.481,-100,,-100,7.756.381,-503.569,2.702.382,9.955.194
"Plan 2014",,,-672.124,,,-321.766,,-100,,-993.990,2.061.129,117.145,3.532.522,2.305.461,,576.324,8.592.580,7.598.590,,76.280,76.280,7.674.870,-100,,-100,7.674.770,-503.507,2.694.612,9.865.875
"Plan 2015",,,-676.995,,,-321.766,,-100,,-998.861,2.068.893,117.561,3.511.838,2.286.817,,576.332,8.561.441,7.562.580,,76.280,76.280,7.638.860,-100,,-100,7.638.760,-503.507,2.696.724,9.831.977
"4202","Bäder, Bereitst. u. Betrieb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-182.468,,,-1.184.860,-307.610,-36.848,,-1.711.786,4.779.582,66.308,4.572.336,765.091,,93.062,10.276.379,8.564.593,,,,8.564.593,-5,9,4,8.564.597,-376.801,651.555,8.839.352
"Ansatz 2010",,,-800.239,,,-1.180.800,-49.049,-260.200,,-2.290.287,4.102.701,18.816,4.648.099,817.406,,108.962,9.695.983,7.405.696,,,,7.405.696,-100,,-100,7.405.596,-474.470,549.151,7.480.277
"Ansatz 2011",,,,,,-1.396.000,-220.737,-260.200,,-1.876.937,4.606.823,24.823,3.474.590,569.394,,108.672,8.784.302,6.907.365,,,,6.907.365,-100,,-100,6.907.265,-474.470,534.175,6.966.970
